dguid,alt_geo_code,geo_level,geo_name_full,geo_name,geo_kind,characteristic,population
2021S051259030184,59030184,Dissemination area,59030184,59030184,,"Population, 2021",411
2021S051259030185,59030185,Dissemination area,59030185,59030185,,"Population, 2021",471
2021S051259030189,59030189,Dissemination area,59030189,59030189,,"Population, 2021",504
2021S051259030190,59030190,Dissemination area,59030190,59030190,,"Population, 2021",470
2021S051259030191,59030191,Dissemination area,59030191,59030191,,"Population, 2021",716
2021S051259030192,59030192,Dissemination area,59030192,59030192,,"Population, 2021",823
2021S051259030193,59030193,Dissemination area,59030193,59030193,,"Population, 2021",943
2021S051259030196,59030196,Dissemination area,59030196,59030196,,"Population, 2021",0
2021S051259030197,59030197,Dissemination area,59030197,59030197,,"Population, 2021",783
2021S051259030198,59030198,Dissemination area,59030198,59030198,,"Population, 2021",512
2021A00055903047,5903047,Census subdivision,"Central Kootenay G, Regional district electoral area (RDA)",Central Kootenay G,Regional district electoral area (RDA),"Population, 2021",1650
2021S051259030199,59030199,Dissemination area,59030199,59030199,,"Population, 2021",621
2021S051259030202,59030202,Dissemination area,59030202,59030202,,"Population, 2021",564
2021S051259030203,59030203,Dissemination area,59030203,59030203,,"Population, 2021",465
2021A00055903050,5903050,Census subdivision,"Nakusp, Village (VL)",Nakusp,Village (VL),"Population, 2021",1589
2021S051259030129,59030129,Dissemination area,59030129,59030129,,"Population, 2021",432
2021S051259030130,59030130,Dissemination area,59030130,59030130,,"Population, 2021",468
2021S051259030131,59030131,Dissemination area,59030131,59030131,,"Population, 2021",689
2021S051259030133,59030133,Dissemination area,59030133,59030133,,"Population, 2021",0
2021A00055903052,5903052,Census subdivision,"Central Kootenay H, Regional district electoral area (RDA)",Central Kootenay H,Regional district electoral area (RDA),"Population, 2021",5045
2021S051259030134,59030134,Dissemination area,59030134,59030134,,"Population, 2021",498
2021S051259030137,59030137,Dissemination area,59030137,59030137,,"Population, 2021",646
2021S051259030139,59030139,Dissemination area,59030139,59030139,,"Population, 2021",570
2021S051259030140,59030140,Dissemination area,59030140,59030140,,"Population, 2021",464
2021S051259030141,59030141,Dissemination area,59030141,59030141,,"Population, 2021",580
2021S051259030170,59030170,Dissemination area,59030170,59030170,,"Population, 2021",670
2021S051259030173,59030173,Dissemination area,59030173,59030173,,"Population, 2021",414
2021S051259030174,59030174,Dissemination area,59030174,59030174,,"Population, 2021",424
2021S051259030175,59030175,Dissemination area,59030175,59030175,,"Population, 2021",779
2021A00055903056,5903056,Census subdivision,"Central Kootenay I, Regional district electoral area (RDA)",Central Kootenay I,Regional district electoral area (RDA),"Population, 2021",2607
2021S051259030171,59030171,Dissemination area,59030171,59030171,,"Population, 2021",433
2021S051259030172,59030172,Dissemination area,59030172,59030172,,"Population, 2021",839
2021S051259030176,59030176,Dissemination area,59030176,59030176,,"Population, 2021",863
