"Geo Code","Geo Name","Line Number"
"2021S051259090615","59090615",1894322
"2021S051259090616","59090616",1896953
"2021S051259090617","59090617",1899584
"2021A00055909034","Fraser Valley D",1902215
"2021S051259090600","59090600",1904846
"2021S051259090601","59090601",1907477
"2021A00055909035","Fraser Valley H",1910108
"2021S051259090725","59090725",1912739
"2021S051259090727","59090727",1915370
"2021S051259090729","59090729",1918001
"2021S051259090730","59090730",1920632
"2021S051259090812","59090812",1923263
"2021A00055909036","Fraser Valley E",1925894
"2021S051259090656","59090656",1928525
"2021S051259090814","59090814",1931156
"2021A00055909048","Fraser Valley C",1933787
"2021S051259090450","59090450",1936418
"2021S051259090458","59090458",1939049
"2021S051259090459","59090459",1941680
"2021A00055909052","Abbotsford",1944311
"2021S051259090049","59090049",1946942
"2021S051259090051","59090051",1949573
"2021S051259090052","59090052",1952204
"2021S051259090054","59090054",1954835
"2021S051259090055","59090055",1957466
"2021S051259090057","59090057",1960097
"2021S051259090058","59090058",1962728
"2021S051259090059","59090059",1965359
"2021S051259090060","59090060",1967990
"2021S051259090061","59090061",1970621
"2021S051259090062","59090062",1973252
"2021S051259090064","59090064",1975883
"2021S051259090065","59090065",1978514
"2021S051259090066","59090066",1981145
"2021S051259090068","59090068",1983776
"2021S051259090069","59090069",1986407
"2021S051259090071","59090071",1989038
"2021S051259090072","59090072",1991669
"2021S051259090073","59090073",1994300
"2021S051259090074","59090074",1996931
"2021S051259090075","59090075",1999562
"2021S051259090078","59090078",2002193
"2021S051259090082","59090082",2004824
"2021S051259090083","59090083",2007455
"2021S051259090084","59090084",2010086
"2021S051259090086","59090086",2012717
"2021S051259090087","59090087",2015348
"2021S051259090088","59090088",2017979
"2021S051259090089","59090089",2020610
"2021S051259090090","59090090",2023241
"2021S051259090091","59090091",2025872
"2021S051259090092","59090092",2028503
"2021S051259090093","59090093",2031134
"2021S051259090094","59090094",2033765
"2021S051259090095","59090095",2036396
"2021S051259090096","59090096",2039027
"2021S051259090097","59090097",2041658
"2021S051259090098","59090098",2044289
"2021S051259090099","59090099",2046920
"2021S051259090100","59090100",2049551
"2021S051259090101","59090101",2052182
"2021S051259090102","59090102",2054813
"2021S051259090103","59090103",2057444
"2021S051259090104","59090104",2060075
"2021S051259090105","59090105",2062706
"2021S051259090106","59090106",2065337
"2021S051259090108","59090108",2067968
"2021S051259090109","59090109",2070599
"2021S051259090110","59090110",2073230
"2021S051259090111","59090111",2075861
"2021S051259090112","59090112",2078492
"2021S051259090114","59090114",2081123
"2021S051259090115","59090115",2083754
"2021S051259090116","59090116",2086385
"2021S051259090117","59090117",2089016
"2021S051259090121","59090121",2091647
"2021S051259090122","59090122",2094278
"2021S051259090123","59090123",2096909
"2021S051259090126","59090126",2099540
"2021S051259090127","59090127",2102171
"2021S051259090128","59090128",2104802
"2021S051259090131","59090131",2107433
"2021S051259090133","59090133",2110064
"2021S051259090134","59090134",2112695
"2021S051259090135","59090135",2115326
"2021S051259090136","59090136",2117957
"2021S051259090137","59090137",2120588
"2021S051259090140","59090140",2123219
"2021S051259090141","59090141",2125850
"2021S051259090144","59090144",2128481
"2021S051259090145","59090145",2131112
"2021S051259090146","59090146",2133743
"2021S051259090148","59090148",2136374
"2021S051259090149","59090149",2139005
