geoname_id,bc_geographic_name,geoname_type,lon,lat,bcgn_name,bcgn_feature_type,da_uid,da_population,da_match,da_distance_m,csd_uid,csd_name,csd_type,csd_population,csd_match,csd_distance_m,name_agrees_with_csd,muni_name,muni_type,muni_population,muni_population_year,muni_population_latest,muni_latest_year,place_population,place_population_basis,place_population_source,place_population_confidence,geo_level,geo_uid,geo_shared_with,parent_geoname_id,parent_name,is_nested,is_primary,note
54790,Tetachuk,Locality,-126.0681753343,53.2664585943,Tetachuk,Locality,59510222,422,contains,0.0,5951031,Bulkley-Nechako E,Regional district electoral area,1512,contains,0.0,no,,,,,,,422,da,"2021 Census, dissemination area",high,da,59510222,10,,,FALSE,FALSE,"no census subdivision carries this name, so this is the population of the surrounding dissemination area, NOT of the named place"
27516,Thornhill,Community,-128.5408346993,54.5136102176,Thornhill,Community,59490146,522,contains,0.0,5949018,Kitimat-Stikine E,Regional district electoral area,3932,contains,0.0,no,,,,,,,522,da,"2021 Census, dissemination area",high,da,59490146,0,,,FALSE,TRUE,"no census subdivision carries this name, so this is the population of the surrounding dissemination area, NOT of the named place"
19966,Tintagel,Community,-125.6029551,54.2042296074,Tintagel,Community,59510202,254,contains,0.0,5951028,Bulkley-Nechako B,Regional district electoral area,1706,contains,0.0,no,,,,,,,254,da,"2021 Census, dissemination area",high,da,59510202,3,,,FALSE,FALSE,"no census subdivision carries this name, so this is the population of the surrounding dissemination area, NOT of the named place"
60065,Tl'o Ba 22,Indian Reserve,-124.6825000004,54.8016666634,Tl'o Ba 22,Indian Reserve-Réserve indienne,59510284,373,contains,0.0,5951015,Bulkley-Nechako C,Regional district electoral area,1266,contains,0.0,no,,,,,,,373,da,"2021 Census, dissemination area",high,da,59510284,69,,,FALSE,FALSE,"no census subdivision carries this name, so this is the population of the surrounding dissemination area, NOT of the named place"
20985,Topley,Community,-126.2978999993,54.5044099979,Topley,Community,59510291,399,contains,0.0,5951053,Bulkley-Nechako G,Regional district electoral area,836,contains,0.0,no,,,,,,,399,da,"2021 Census, dissemination area",high,da,59510291,22,,,FALSE,FALSE,"no census subdivision carries this name, so this is the population of the surrounding dissemination area, NOT of the named place"
20984,Topley Landing,Community,-126.1393131998,54.8083112578,Topley Landing,Community,59510291,399,contains,0.0,5951053,Bulkley-Nechako G,Regional district electoral area,836,contains,0.0,no,,,,,,,399,da,"2021 Census, dissemination area",high,da,59510291,22,,,FALSE,FALSE,"no census subdivision carries this name, so this is the population of the surrounding dissemination area, NOT of the named place"
64837,Tsak 9,Indian Reserve,-126.5991666664,55.146666664,Tsak 9,Indian Reserve-Réserve indienne,59510291,399,contains,0.0,5951053,Bulkley-Nechako G,Regional district electoral area,836,contains,0.0,no,,,,,,,399,da,"2021 Census, dissemination area",high,da,59510291,22,,,FALSE,FALSE,"no census subdivision carries this name, so this is the population of the surrounding dissemination area, NOT of the named place"
64889,Tsay Cho 4,Indian Reserve,-124.9125000003,54.8133333299,Tsay Cho 4,Indian Reserve-Réserve indienne,59510284,373,contains,0.0,5951015,Bulkley-Nechako C,Regional district electoral area,1266,contains,0.0,no,,,,,,,373,da,"2021 Census, dissemination area",high,da,59510284,69,,,FALSE,FALSE,"no census subdivision carries this name, so this is the population of the surrounding dissemination area, NOT of the named place"
60062,Tsaz Chech 27,Indian Reserve,-124.969444445,54.9919444416,Tsaz Chech 27,Indian Reserve-Réserve indienne,59510284,373,contains,0.0,5951015,Bulkley-Nechako C,Regional district electoral area,1266,contains,0.0,no,,,,,,,373,da,"2021 Census, dissemination area",high,da,59510284,69,,,FALSE,FALSE,"no census subdivision carries this name, so this is the population of the surrounding dissemination area, NOT of the named place"
60063,Tsaz Chech 28,Indian Reserve,-124.9666666661,54.9716666634,Tsaz Chech 28,Indian Reserve-Réserve indienne,59510284,373,contains,0.0,5951015,Bulkley-Nechako C,Regional district electoral area,1266,contains,0.0,no,,,,,,,373,da,"2021 Census, dissemination area",high,da,59510284,69,,,FALSE,FALSE,"no census subdivision carries this name, so this is the population of the surrounding dissemination area, NOT of the named place"
60076,Tsaz Cheh Koh 24,Indian Reserve,-125.0922222229,54.9719444414,Tsaz Cheh Koh 24,Indian Reserve-Réserve indienne,59510284,373,contains,0.0,5951015,Bulkley-Nechako C,Regional district electoral area,1266,contains,0.0,no,,,,,,,373,da,"2021 Census, dissemination area",high,da,59510284,69,,,FALSE,FALSE,"no census subdivision carries this name, so this is the population of the surrounding dissemination area, NOT of the named place"
60022,Tse Bay Ha Tine A 34,Indian Reserve,-125.0916666671,54.5333333304,Tse Bay Ha Tine A 34,Indian Reserve-Réserve indienne,59510284,373,contains,0.0,5951015,Bulkley-Nechako C,Regional district electoral area,1266,contains,0.0,no,,,,,,,373,da,"2021 Census, dissemination area",high,da,59510284,69,,,FALSE,FALSE,"no census subdivision carries this name, so this is the population of the surrounding dissemination area, NOT of the named place"
64782,Tsemknawalqan 79,Indian Reserve,-129.1849773344,54.1997614645,Tsemknawalqan 79,Indian Reserve-Réserve indienne,59490204,737,contains,0.0,5949013,Kitimat-Stikine C (Part 1),Regional district electoral area,2978,contains,0.0,no,,,,,,,737,da,"2021 Census, dissemination area",high,da,59490204,16,,,FALSE,FALSE,"no census subdivision carries this name, so this is the population of the surrounding dissemination area, NOT of the named place"
65847,Tsichgass 10,Indian Reserve,-126.4515495956,54.0497959271,Tsichgass 10,Indian Reserve-Réserve indienne,59510222,422,contains,0.0,5951031,Bulkley-Nechako E,Regional district electoral area,1512,contains,0.0,no,,,,,,,422,da,"2021 Census, dissemination area",high,da,59510222,10,,,FALSE,FALSE,"no census subdivision carries this name, so this is the population of the surrounding dissemination area, NOT of the named place"
65182,Tsitsk 3,Indian Reserve,-127.6016354079,55.2664634848,Tsitsk 3,Indian Reserve-Réserve indienne,59490172,362,contains,0.0,5949028,Kitimat-Stikine B,Regional district electoral area,1455,contains,0.0,no,,,,,,,362,da,"2021 Census, dissemination area",high,da,59490172,4,,,FALSE,FALSE,"no census subdivision carries this name, so this is the population of the surrounding dissemination area, NOT of the named place"
